state,year,quarter,transaction_count,transaction_amount,transaction_type_Financial Services,transaction_type_Merchant payments,transaction_type_Others,transaction_type_Peer-to-peer payments,transaction_type_Recharge & bill payments,avg_amount_per_transaction,amount_scaled,count_scaled,principal_component_1,principal_component_2
rajasthan,2024,2,1096672010,523282312007.0,False,True,False,False,False,477.1547985500241,1.693318248683731,6.209681015657195,454644993538.3452,857332647.9053127
rajasthan,2024,2,603947443,1879643438141.0,False,False,False,True,False,3112.2632605317613,6.745068779682039,3.295530862159131,1811005789233.5022,-209984639.7769912
rajasthan,2024,2,116905611,92675346901.0,False,False,False,False,True,792.7365171634063,0.08952784013224221,0.4149904455844112,24037652014.2511,59983572.0946498
rajasthan,2024,2,580197,900517039.0,True,False,False,False,False,1552.0884096263856,-0.2522863983877688,-0.27299985521953846,-67737218891.47644,-17463429.379588418
rajasthan,2024,2,749845,592923836.0,False,False,True,False,False,790.728531896592,-0.25343202553429117,-0.2719964959832602,-68044811995.00831,-17163476.252936035
rajasthan,2024,3,1180358044,539372910912.0,False,True,False,False,False,456.9570340573712,1.7532474887631049,6.704630293935711,470735626451.2896,934202243.62744
rajasthan,2024,3,638917092,1829890897007.0,False,False,False,True,False,2864.050625534056,6.559766044850217,3.5023539329501667,1761253267377.9463,-153938416.5786743
rajasthan,2024,3,114791455,101313424056.0,False,False,False,False,True,882.5868097586183,0.1217002535211117,0.402486567262633,32675727498.536865,54210083.57403653
rajasthan,2024,3,740449,1135779724.0,True,False,False,False,False,1533.9067565760774,-0.25141016537653504,-0.2720520673037831,-67501956159.6994,-17402841.29176479
rajasthan,2024,3,597995,544704206.0,False,False,True,False,False,910.8842147509595,-0.2536116189602332,-0.272894591451694,-68093031685.009476,-17294899.046293765
rajasthan,2023,1,484552414,276693132279.0,False,True,False,False,False,571.0282815328209,0.7748998454816526,2.589385755156062,208055576625.79724,349675226.7215559
rajasthan,2023,1,353301155,1216864232698.0,False,False,False,True,False,3444.2690477420037,4.276555683487234,1.813118643308026,1148226537081.1282,-179858971.59373888
rajasthan,2023,1,82232131,60583110261.0,False,False,False,False,True,736.7328260166333,-0.029999305229948522,0.20991902468992182,-8054596434.761749,38905270.28675175
rajasthan,2023,1,259195,274450998.0,True,False,False,False,False,1058.8591523756245,-0.25461817374915535,-0.2748983764020091,-68363285012.28477,-17519212.14730451
rajasthan,2023,1,751791,498449614.0,False,False,True,False,False,663.0162026414256,-0.25378389362602455,-0.2719849866399506,-68139286207.70672,-17121508.312504776
rajasthan,2023,4,766981185,396873110176.0,False,True,False,False,False,517.448299824982,1.222508712662173,4.259770999742252,328235663383.7782,581192349.7630528
rajasthan,2023,4,484250991,1587157118494.0,False,False,False,True,False,3277.550584287808,5.655707036620332,2.5876030312154517,1518519445124.6328,-205775640.32341313
rajasthan,2023,4,97092812,81348244193.0,False,False,False,False,True,837.8400266437849,0.047340183749823725,0.29781043242083727,12710541929.377151,44969254.52351521
rajasthan,2023,4,443168,570385125.0,True,False,False,False,False,1287.062976117409,-0.25351597068950715,-0.27381029396793494,-68067350833.902916,-17460605.192802336
rajasthan,2023,4,703998,430749813.0,False,False,True,False,False,611.8622680746253,-0.25403604071212177,-0.27226765161672273,-68206986022.87845,-17140621.766249258
rajasthan,2023,2,592487449,310487787699.0,False,True,False,False,False,524.0411222601274,0.900767628901172,3.2277523394085352,241850274737.70886,443293884.4244416
rajasthan,2023,2,389865502,1321457235324.0,False,False,False,True,False,3389.5208181923213,4.666111050692887,2.029373331137721,1252819545811.6418,-187603168.87422714
rajasthan,2023,2,90082184,65720609268.0,False,False,False,False,True,729.562787554085,-0.010864752612247286,0.256347059107207,-2917094563.2481613,44578933.34339286
rajasthan,2023,2,289948,328805088.0,True,False,False,False,False,1134.013988715218,-0.2544157326014928,-0.2747164921086884,-68308930914.13414,-17511485.073068324
rajasthan,2023,2,734255,461148921.0,False,False,True,False,False,628.0500929513588,-0.25392281960380336,-0.27208870084564335,-68176586904.78845,-17123242.687078737
rajasthan,2023,3,704324393,341799936129.0,False,True,False,False,False,485.2876593882217,1.0173893452053027,3.8891962156672046,273162467735.33545,541866110.6395924
rajasthan,2023,3,438800339,1385976868598.0,False,False,False,True,False,3158.5592475989406,4.906413640741863,2.3187915422555614,1317339194026.4434,-166000669.63759995
rajasthan,2023,3,93085762,71540658202.0,False,False,False,False,True,768.5456579492791,0.010811948913822516,0.2741112987574362,2902955120.9166565,45116974.46687004
rajasthan,2023,3,359675,484002475.0,True,False,False,False,False,1345.666156947244,-0.25383770181966003,-0.2743041015737692,-68153733511.52175,-17507504.06244299
rajasthan,2023,3,661998,423978212.0,False,False,True,False,False,640.4524062006229,-0.2540612614577539,-0.272516054709737,-68213757641.06321,-17179753.121625
rajasthan,2018,1,4305940,868358581.1737025,False,False,False,False,True,201.6652766117741,-0.2524061721731346,-0.2509644722439128,-67769375768.08751,-13724063.48566089
rajasthan,2018,1,2540658,7547652852.662634,False,False,False,True,False,2970.7472838385306,-0.2275292218296354,-0.26140498435920856,-61090082843.75756,-18318882.45351261
rajasthan,2018,1,202537,37125466.49571308,True,False,False,False,False,183.3021447721309,-0.2555020898071254,-0.27523347217448535,-68600610546.49566,-17475332.36455966
rajasthan,2018,1,184127,201212697.26059398,False,True,False,False,False,1092.7930029848635,-0.2548909489102249,-0.2753423555302566,-68436523338.25339,-17563254.334161162
rajasthan,2018,1,358428,271943533.1341365,False,False,True,False,False,758.7117444344094,-0.2546275127715761,-0.27431147677988804,-68365792434.88774,-17418916.923487373
rajasthan,2018,4,10752729,33578327037.682457,False,False,False,True,False,3122.772557337068,-0.13057829216739264,-0.2128358453960462,-35059407515.61635,-21134138.7362843
rajasthan,2018,4,7557003,2743591538.8320713,False,False,False,False,True,363.0528582338887,-0.24542188981125548,-0.23173651736809697,-65894141601.452736,-11267402.26029028
rajasthan,2018,4,1985927,1172254323.9731452,False,True,False,False,False,590.2806719346407,-0.25127431617219553,-0.2646858628399443,-67465481035.379585,-16172815.071107602
rajasthan,2018,4,311632,40412563.014562674,True,False,False,False,False,129.68040193100413,-0.2554898470560877,-0.27458824514038077,-68597323404.056046,-17367629.88099091
rajasthan,2018,4,352432,374501619.8364362,False,False,True,False,False,1062.6209306658766,-0.2542455364239988,-0.2743469392785955,-68263234359.92809,-17468359.41626529
rajasthan,2018,2,5288093,1511007056.105427,False,False,False,False,True,285.7376101565209,-0.2500126357380887,-0.24515566645788306,-67126726934.75323,-13014154.563205052
rajasthan,2018,2,3770555,13341587602.422176,False,False,False,True,False,3538.361753753009,-0.20594978226541447,-0.2541309315285186,-55296148092.87117,-19543459.46712548
rajasthan,2018,2,345752,342809667.5935513,False,True,False,False,False,991.4900494966082,-0.2543635727149884,-0.2743864471991035,-68294926312.15708,-17461613.812326718
rajasthan,2018,2,279471,52145152.93902289,True,False,False,False,False,186.58520182424255,-0.25544614916749525,-0.2747784568516768,-68585590828.80866,-17404761.133558583
